Review	Label
OOO 상담원님 최초 상담의 맥을 전혀 짚어 내지 못해 짜증지수를 몹시 올림 그리고 말하면 할 수록 고객에게 자신이 짜증나 있음을 말투에서 드러냄	1
지금껏 상담 사들 중 말투가 제일 기분 나빴음	1
눈으로 보는 ARS 거절 버튼도 있었으면 좋겠어요[SEP]상담원 연결까지 대기 시간이 너무 길음	2
웃음 면서 친절하게 상담해 주셔서 좋았습니다	1
다른 회사 카드는 상담원 연결까지 시간이 빠르다	16
안된다고 하지 말고 되는 방법을 찾아 주세요	1
친절해서 좋습니다	1
Skt 통신사 콜 센터 상담 직원은 신속하고 부족한 부분은 확인해서 다시 알려 줌 미안할 정도 친절함	16
목소리를 조금 크게 해 주시면 빨리 알아들을 수 있을 텐데	1
대체적으로 만족합니다	16
만족 최고	16
상당 사들의 과한 말투 절제되길 바라고 그냥 친절하게 평범하게 대화하길 바 래요	1
알아보고 전화 준다고 했는데 연락 없음	1
삼성카드 이해하기 편하게 설명해 주세요	1
다른 카드사는 상담원 연결이 너무 느리거나 안될 때가 많은데 삼성은 대기 시간이 짧다	2
디지털 전환부분이 시간을 많이 소요됨	9
통화 대기 시간 단축 요청	2
상담 사 친절 도가 극과 극이라 전화 안하고 싶어요[SEP]그 럴려면 뭐하러 상담 사 하는지 물어보고 싶네요	1
너무 친절하게 잘 설명해 주셔서 감사했어요	1
좋습니다[SEP]수고 많으세요	16
매우 친절했고 정확하게 응대해 주어서 참으로 감사했읍니다	1
상담 직원 분이 친절함	1
카드 전반 지식이 있었으면 좋겠어요	1
지금도 충분히 좋습니다	16
빨리 연결이 되었으면	2
삼성카드를 빙자한 보험 권유 정말 짜증 납니다[SEP]제발 오지 않게 해 주세요	13
지금의 서비스에 만족합니다	16
진짜 화가 나서 전화 끊고 싶었네요[SEP]성의 없는 답변과 어투 진짜 짜증난다	1
직원 분이 친절하게 설명도 잘해 주시고 처리도 신속해서 좋았습니다	1
상담 사 연결이 어렵다	2
좀 더 적극적 답변 바랍니다	1
상담 직원의 친절한 응대에 대해서 감사	1
상담 직원들 너무 친절하고 신속해서 항상 감사 드려요	1
만족합니다	16
매우 친절해서 감사합니다	1
친절하게 응대해 주셔서 감사해요	1
항시 친절해서 좋습니다	1
고객센터 상담원 연결까지 너무 힘드네요[SEP]Ars 전화로 앱카드만 자꾸 연결되고 앱 카드 당연히 사용할 줄 알죠	9
모두 만족함	16
대체로 만족 모든 것	16
다른 카드사보다 상담 연결이 빨 랐 슴	2
보는 ars 개 불편함 진심	9
디지털 ARS 안내 시간이 너무 과다하게 많음 불편	9
슬 때 없는 메세지 보내지 마 세요 삼성카드없에기전에	13
현재로 만족	16
대체로 만족함	16
상담원 분이 형식적으로 딱딱하게 이야기 하는 성향도 있고 질문에 대한 답변을 약간 귀찮아 하는 성 항이 보임 카드 전환 시 새로운 카드에 대한 정보를 상세히 주었음 했는데 거의 주지 않았음 좀 더 적극적으로 상담을 해 주셨음 좋겠읍니다	1
알아듣기 쉽게 설명 부탁드려요	1
친절한 설명 응대 감사합니다	1
상담원 연결 전에 화면으로 유도하는 의도는 알겠는데 상담으로 5분 이내에 끝낼 일을 화면 찾아가며 10분 이상 해야 할 이 유가 상담원이 부족하면 보충해야 할 것이고 고객의 귀중한 시간도 돈입니다	9
앞에 디지털 ars 안 내음이 너무 길어요	9
OOO 상담원 매우 친절했습니다[SEP]감사합니다[SEP]C2204	1
신속하고 친절한 상담 감사합니다	1
너무 전화했을 때 상담원 연결까지 안내내용이 길어요	9
매우 만족합니다[SEP]서비스 최고입니다	16
4번 5번 항목에 의견 없음 란을 추가 바랍니다[SEP]설문 완료가 진행 안됩니다[SEP]설문 완료가 안되어 아무 거나 선택한 것이니 통계에서도 빼주세요	1
다른 카드는 교체하거나 신청 시 상담원이 연회비부분을 안내하는데 The1 카드 이번 신청 시 상담원과 교체카드에 관한 안내만 받고 197000원이라는 연회비에 관한 안내가 없어 아쉬웠습니다	6
항상 친절하신 상담 감사합니다	1
통화 대기 시간이 너무너무 길다	2
대기 시간이 최소화 되었으면 합니다	2
너무 친절하셨어요	1
10000000000000000000000 점 회생 불능	16
삼성 킨 드어플에서도 상담원과 챗으로 상담하는 게 있 닛음좋겟네요	9
상담을 너무 친절하게 잘해 주셔 다	1
빠른 연결 좋아요	2
하나카드 응대 시에는 매우 친절했어요	16
친절한 응대 신속한 처리	1
상담원 연결이 오래 걸려요	2
보는 Ars 안할 건데 일정시간 동안 보는 ARS에 대한 안내만 나왔다가 누르는 ARS 선택 가능한 게 불편	9
상담원 연결이 빨라서 좋았다	2
무이자 할부 개월 늘리기	3
디지털 화면 전환은 당 황스럽 습니다	9
지금도 충분히 완벽합니다	16
수고에 감사합니다	16
상담원 대기 시간이 길어요	2
상담이 친절하고 빠르고 만족합니다	1
문자서비스 편리하고 좋습니다	8
로보트랑 이야기 하는 줄 알았네요[SEP]160만원이 부당 결재되었는데 반응은 남일	1
너무도 친절합니다	1
공인 인증서 없어도 자동 이체계좌 변경 같은 간단업무는 어플상에서 변경 가능했음 좋겠습니다	9
무이자 혜택 만족 긴할 부만족 잘 쓰고 있습니다	3
친절 하세 요	1
통화 대기 시간이 너무 길어서 짜증 남	2
친절하게 만족	1
무이자기간 더 늘려 주시면 더 많이 사용할 수 있는데 안되나요	3
상담원 연결하기가 어려워	2
더운 날씨에 항상 감사합니다	16
앱에서 홈페이지에서 과련 내용 찾기가 너무 어려움	9
좀더 친절하고 자세하게 응대하길 바란다	1
연회비 20만 원 어처구니 없어 못 냅니다[SEP]연회비 취소하시고 또한 카드 정지 부탁 드립니다[SEP]연회비 어이 없어 카드 못쓰겠습니다	6
즉시 결제 자신의 명의 통장으로 자유롭게 결제가 가능하면 좋겠습니다[SEP]보안 철저	6
이벤트기간 외에도 5개월 이상 무이자 할부 혜택 자주 많았으면 합니다	3
전화가 빨리 연결되길 바랍니다[SEP]급한 때는 미처 버릴 것 같아요	2
유선통화 시 타 회사에서는 볼 수 없는 디지털 안내에 대한 상담 서비스가 인상적이였습니다	9
앱은 더 쉽게	9
연결이 빠르고 등급에 따라 주말에도 상담이 가능해서 만족	2
그동안 감사했습니다	16
친절 하십니다	1
연결까지 너무 오래 걸림	2
연회비는 면제 바랍니다	6
복지 포인트 관련 내역을 물어보았으나 인사 팀에 질의 해보라고 답변함	11
대 채적으로 말을 할 때 좀 빨리 한다는 느낌이 듬니다	1
정말 싫어요[SEP]교과서 적인 답변	1
홈페이지 사용이 불편합니다[SEP]결제한 후 남은 잔고 확인 용이하게 해 주세요 현대카드앱은 완전 편한데 삼성은 불편	9
항상 매우 만족 합니다	16
업무내용을 숙지해 주시기 바랍니다	1
매우 만족합니다[SEP]감사합니다	16
직원 연결 시까지 오래 걸림	2
친절하지 않고 되게 답답해 듯 말투다	1
다른 카드사와 비교 해보면 조금 더 상냥하게 답변 해 주시 길	1
친절하게 처리해 주셨음	1
없습니다[SEP]매우 만족합니다	16
상담원 연결 대기 시간이 너무 길다 고객 전화번호를 요청하여 회신 하는 시스템 구축 필요 합니다	2
카드이용실적이 많은 사람은 연회비 좀 면제해 주세요	6
상담 사의 친절	1
연결이 빨리 되지 않아 불편하다	2
앱으로 사용 알림이 있었음 좋을 듯	9
신한 카드사 상담 시스템이 맘에 듭니다	16
친절하게 대해 줬습니다[SEP]감사합니다	1
친절하고 차분하게 설명해 주신 OOO 상담 사님께 감사 드립니다	1
상담원과의 통화 대기 시간이 길다	2
상담 사의 공감능력 적극적해결방안 모색 고객에 대한 감성 케어부족	1
ARS로 화면은 너무 기계적이고 여러 가지 유형을 다 인지 못 하여 불변 항이 많음 여전처럼 상담 사와의 업무 처리 환성화 부탁합니다	9
너무 친절하세요	1
상담원 통화가 너 믜 힘 듬	2
OOO 상담원님 너무 친절했습니다	1
전화 연결시 대기 시간이 길다	2
최근 ARS 연결상태 고르지 않구 오랜 시간 동안 지체되어서 불편	9
무이자 할부 개월수 늘려 주세요	3
쓸데없이 불편하고 매 뉴도 찾기 힘든 보이는 ARS 화면을 기본으로 띄워서 빠른 진행을 막 음 상담원 바로 연결 버튼을 정중앙 제일 크게 배치할 것	9
무이자 할부 이벤트 자주 요망	3
친절한 답변감사합니다	1
고객센터 전화하자마자 보이는 ARS 서비스로 무조건 넘어가는 것이 불편합니다[SEP]바로 상담 사 연결할 수 있는 시스템이 도입되면 좋겠습니다	9
ars 멘트가 빨라서 답답하지 않았습니다	9
수고 하세요 친절 응대 감사합니다	1
항상 감사	16
만족합니다[SEP]첨 언하면 고령자에 대한 배려가 있었으몀합니다	1
친절한 상담 너무 좋았습니가	1
모든 게 만족합니다	16
기다리는 시간 없이 연결이 빨리 되었음 좋겠습니다	2
100세 시대에 나이든 상담자의 문의를 친절하고 불편함이 없이 상담해 주는 직원과의 통회는 너무 고맙게 생각되는 다른 곳의 상담 시 느꼈던 마음입니다	16
상담원 연결하는 것이 빨리 할 수 있었으면 합니다	2
상담해 주신 OOO 상담 사님 매우 친절하십니[SEP]다 감사합니다	1
디지털 ars 사용이 불편합니다[SEP]카카오 톡 계속 상단을 누르라는 데 상단에 나오는 거 없음 기종 아이 폰 11pro skt 카카오 톡 발송은 거의 연결 후 2분 넘어야 오니 계속 시간만 잡아먹어요[SEP]차라리 음성인식이나 버튼이 편하고 빠르겟어요	9
ARS 전화가 빨리 연결이 안 돼는 것	9
친절하시네요	1
전화 걸기 너무 함 듬	2
대기 시간이 길어요	2
친절과 매니	1
고령층에게는 말에 속도를 천천히 해 주셨으면 함	1
연회비가 너무 비 싸요	6
전화 연결이 어렵다	2
친절하고 신속한 응대 감사합니다	1
빠른 일처리와 친절 상담 감사합니다	1
친절하고 빠른 상담 감사합니다	1
친절하게 잘해 주셧습니다	1
해외 직 구시 모바일앱에는 달러만 표시되니 원화도 알려 주시면 좋겠읍니다	9
연결이 빨리 되었음 좋겠습니다	2
문의사항이 있어서 여쭤 봤는데 말투나 태도가 불쾌했습니다	1
서비스가 좋아서 만족해요	16
보험에 대한 전화 서 비 써는 안 했서면 합니다	13
조금 귀찮은 듯이 말씀하셔서 제대로 된 상담을 못 받았어요[SEP]얘기해 준 내용도 틀리구요	1
이대로만 하시면 매우 만족스럽습니다	16
상담 사와 통화 대기 시간이 잛 았으면 좋겠습니다	2
신속 정확하고 친절함에 만족합니다	1
수고 많습니다	16
친절함니다	1
만족 만족	16
현재 상태 만족합니다	16
아주 만족하며 사용 중입니다	15
친절하십니[SEP]다 감사합니다	1
친절하고 빠르셨어요	1
불편에 대한 대안 제시가 안되고 반복되는 불변사항에 대한 문제제기에 대해 앵무새처럼 반복되는 대답만 하다가 신경질 낸다는 인상을 받음 삼성카드는 시스템 불편 사항에 대해 창구직원에게 미숙한 해결책을 강요하지 말고 고객 불편 사항을 적극적해결노력해야 함	1
상담 직원과 통화하기가 힘들다	2
조금만 빨리 처리했으면 좋겠다 조금 친절	1
최악입니다	16
대기 시간이 너무 길어요	2
친절하고 원하는 데로처리돼 었음	1
천천히 대화 요함	1
다른 제유보험회사전화 불미스럽습니다	13
항상 친절하게 응대해 주셔서 감사합니다	1
확실한 업무 파악 후 근무 투입	1
앱 인터페이스가 나무 복잡해요	9
통화가 잘 안 되요[SEP]상담원과	2
이해할 수 있게 자세하게 알려주었으면 더 좋겠음	1
친절한 상담 좋아요	1
빨 리 상담원 연결이 됐으면 좋겠습니다	2
상담 사들 친절합니다	1
친절한 상담에 감사 드립니다	1
다 친절하셨습니다	1
친절하게 상담해 주셔서 정말 감사합니다	1
연회비 싫엉	6
화면으로 볼 수 있어 너무 좋아요	9
구체적인 내용도 궁금하지만 대략적인 정도가 궁금해서 상담하는 경우도 있는데 그 부분은 답변을 어려워 하시네요	1
잘해 주니 만족했읍니다	16
챗봇 상담은 원하는 메뉴가 잘 없습니다	9
5번 질문 사항 잘못된 듯합니다	1
친절상담에 만족 감사	1
Ars 축소 설명 내용이 좀더 간소화 돼 엇음합니다	9
매우 만족하므로 없습니다	16
친절합니당	1
우편으로 결제 내역을 확인하는데 매번 결제일이 지난 후 우편이 도착함 현대카드가 아주 심하여 삼성 캍 로 변경햇지만 삼성카드도 차이가 없음 계속 결제 일이후 우편이 도착함	6
연회비를 저렴하게 부탁드려요	6
상담원 분 너무 친절하고 감사합니다	1
상담 직원 분들 항상 감사 드립니다	16
삼성카드 다시 연결해서 상담한 상담 사가 굉장히 불친절했습니다[SEP]상담 사 곽 씨 였습니다	1
카드대출 상 환시 별도 항목으로 크고 쉽게 표시해 찾기 쉽게 해 주세요	6
화면으로 터치하는 ars는 불편함	9
다른 카드사보다 통화 대기 시간이 좋습니다[SEP]다른 카드 사는 일처리 통화 오래 기다려야 합니다	2
작은 금액 사용시 포인트도 주세요	3
디지털 ARS 메뉴에서 상담원 연결 버튼을 눌리고 대기 시에 대기음이 없어서 연결 중인지 끊긴 건지 알 수가 없어 불편함	9
매우 만족합니다	16
친절한 것	1
늘 지금처럼 매우 만족	16
연회비 좀 줄여 주세요	6
감사합니다[SEP]너무 친절했습니다	1
현재 만족합니다	16
전화는 절대하지 말아 주세요[SEP]죄송	13
상담 직원이 매우 친절하고 업무가 정확하며 신속하다	1
너무 만족해요	16
상담 사에 친절에 매우 만족함니다	1
만족하기 때문 여 건의 드릴 게 없습니다	16
통화 대기 시간이 넘길 다	2
25일이 날은 통화 연결이 어럽다는 것	2
5 상 담 서비스 이용 시 어떤 경우에 주로 불편함을 느끼십니까[SEP]질문에 답을 꼭 비관적으로 해야 되는 상황만 있네요[SEP]수정 건의 한번 드립니다[SEP]불편 사항 없 어 요	1
상담할 때 마다 친절하게 해 주셔서 감사 드립니다	1
타사카드 사보다 전화통화가 빨리 이루워져서 아주 만족스럽습니다[SEP]감사합니다	2
ARS 사용에 있어 편리하게 사용할 수 있도록 해 주셨으면 합니다[SEP]사용방법이 너무 길어 매우 많이 많이 불편합니다	9
삼성은 언제나 좋습니다	15
상담보다는 이벤트 종료 일 안내가 부족하여 기회를 놓침 문 자로 안내가 추가적으로 있었으면 좋겠음	3
직원들이 친절하게 응대해 주셔서 감사 드립니다	1
상담 사 연결이 어렵습니다	2
현재까지 매우 만족해서 인지 별다른 의견은 없습니다	16
대기 시간이 너무 길어요	2
Ars 시간이 느리다	2
오늘 상담해 주신 상담 사님 너무 친절하고 신속하게 응대 해 주셔서 감사합니다	1
카드사용 내역 서를 일 직전해 주기	6
일이 밀려 있으신 건지 빨리 처리하고 싶은 마음은 알겠는데 목소리만 친절하셨던 거 같아서 아쉽네요	1
상담원과 연결까지 시간이 많이 걸린다	2
수고하시고 감사합니다	16
상담 톡이 부족	2
친절한 응대에 만족합니다	1
너무 친절하시구 너무 감사합니다	1
매우 친절하고 상냥하게 응대해 주셔서 감사합니다	1
만족하고 있읍니다	16
친절 응대 감사합니다	1
빠른 상담 친절	1
친절과 쎈스로 속전 속결처리해 주심	1
늘 친절히 상담해 주시니 감사합니다	1
친절	1
투명 스럽게 상담 하지 아세요 힘들겠지만 상냥하게 상담 해 주세요	1
상담원님이 너무 친절하시네요	1
카드 쓰면서 어플써봤지만 삼성카드 어 플은 진짜 사용하는 사람 공감도 못 얻어내고 궁금함을 얻고자 하는데 이것저것 다 눌러 봐야 되고 너무너무 불편해서 삼성카드를 쓰고 싶은 마음이 너무너무 사라짐 제발 현대카드 어 플 좀 보고 배워서 어 플 좀 개선하세요	9
상담원이 친절하네요	1
항상 수고하십니다	16
없음 만족	16
더 친절한 응대 원합니다	1
화면으로 터치하니 넘 편하고 대기 시간 짧아 넘 좋습니다	2
Ars 너무 복잡하고 난이도가 있어요[SEP]통화 직원을 늘렸으면 함니다	9
만족 4	16
상대방의 말은 배려치 않고 기계적으로 자기 할 말 만 하는 점이 무척 아쉽다 잘 모르기 때문에 상담원과의 통화를 원하는 것이지 시간이 남아 돌아 그런 건 아니 길 알아주셨으면 합니다	1
디지털이나 보이는 ARS를 이용할 경우 연결 카 테 고리에 기타가 잘 안 보이는데 연결 카 테 고리를 찾기가 쉽지 않다	9
매우 만족요	16
대기 시간이 짧은 점	2
전화 연결이 오래 걸림	2
연체가 좀 되어서 신용도가 많이 않 좋아 졌습니다[SEP]궁금 한 건 카드론을 전액 700을 값 았는데 이게 신용평가에 언제쯤 반영이 될까요 였습니다[SEP]이걸 값 으면 한도를 조금 올릴 수 있는 가능성이 있냐[SEP]엿 는데요 그냥 형식적인 대답만 저도 제가 연체 많아서 신용도 않 좋은 거 알 고요 굳이 같은 말 계속 해 주실 필요는 없네요[SEP]괜히 전화했네요	1
과거거래 내역 5년치 까지는 온라인에서 그냥 파악할 수 있게 해 주시면 안될까요	9
통화 대기 시간이 길다	2
상담원 말투도 배우자 해외 근무 중인데 일체 서비스 받을 수 없어 삼성카드 싫음	1
통화가 점 빨리 되었으면 해요	2
질문 사항에 대한 처리 여부에 따라 이유에 대한 설명 및 해석을 해서 자세히 알려 주면 좋겠습니다	1
문자상담의 답변이 불만족	1
대체로 만족합니다[SEP]굿	16
항상 친절한 상담감사 드립니다	1
언제나 만족 합니다	16
친절하고 배려 심 있는 상담에 감사합니다	1
통화 연결 너무 길어요	2
직접 연결되는데 시간이 다소 걸리는 게 힘들었습니다	2
항상 친절 하심에 감사 드립니다	1
회사 말씀은 드리지 않겠지만 중소회사 지만 너 무친절하고 너무 쉽게 답변해 주어 끝에 복 많이 받으시라는 이야기를 해 준 적 있습니다	16
삼성카드도 콜 수에 민감해서 직원들 닦달하고 그러시나요[SEP]진짜 그러면 실망할 거 같음 아무리 법이 새로 생겼다 한들 상사가 부하직원 잡으면 의미 없는 거 아닌지 그리고 법 생겨도 개진상은 존재하는데 직원들 잡지 말고 좀 프리하게 놔줘 라	15
연회비가 조정되었으면 좋겠어요	6
알아듣지 못하는 용어를 쉽게 답변 요함	1
친절하게 응대해 주셔서 감사 드립니다	1
상 디 방이 말길을 못 알아듣는다고[SEP]한 단어씩 짜증 내면서 말하는 태도가 어이없네요[SEP]하기사 사람마다 성격 나름이 겄지만요	1
친절합니다	1
전화 연결이 빨라서 좋아요	2
상담원 연결을 빨리 해 준다	2
상담원자세한 안내 친절 감사합니다	1
감사합니다[SEP]수고하셨습니다	16
상담 대기 시간이 길지 않고 바로 연결이 되어서 좋았음	2
화면 보면서 선택 불편	9
타사에 비해 전반적 서비스가 탁월합니다	15
삼성카드 상담 직원 분의 친절하고 신속한 처리에 항상 감사 드립니다	1
5번 질문 해당 사항 없는데 선택 하라고 해서 했어요	1
상담원들이 자기 말만 하고 고객 가치 생각 않는다	1
활 부 결제하고 아니다 싶어 취소 요구할 때 쉽게 처리될 수 있도록 도와 주 솄으면 합니다[SEP]잘	9
빨리 통화 할 수 있서 감사합니다	2
상담원 연결이 빨리 연결 됬으면 좋겠습니다	2
상담원님 친절 하세요 만족합니다	1
아주 불편하다	16
친절하고 정확한 일처리 감사합니다	1
수고 많음	16
삼성카드 밖에 사용하지 않아서 없습니다[SEP]삼성 최고	15
타 카드사에 비해 마케팅 보험전화가 너무 많아요[SEP]제 경우입니다	13
카드 연회비 중간해 지시 연회비 환급 등	6
디지털통화가 넘 힘들어요	9
전화만 빨리 연결해 주시면 됩니다	2
삼성카드 안내는 기다리는 시간이 적어 아주 만족합니다	2
잘하고 있습니다	16
통화 대기 시간이 길다	2
누르는 ars 엄청 불편하다 특히 아이 폰들한테	9
대기 시간 짧게 해 주시면 좋겠어요[SEP]감사합니다	2
항상 친절하게 답변해 주셔서 감사합니다	1
소비자 자가 전화 하면 필요치 않은 안내 멘트는 하지 말고 용건을 즉시 해결 하도록 해 주시길 바랍니다	9
친절하고 싹싹 했음	1
통화가 너무 힘들어요[SEP]바쁠 땐 돌 것 같아요[SEP]오	2
혜택이 많음 좋겠어요	3
지금의 만족	16
